id,carat,cut,color,clarity,depth,table,x,y,z,price
7600,0.9,Premium,H,VVS2,62.4,58.0,6.15,6.12,3.83,4657
14295,0.4,Premium,H,VVS2,60.6,60.0,4.79,4.75,2.89,1125
13513,0.42,Premium,F,VS1,59.9,61.0,4.88,4.84,2.91,1103
8722,0.9,Very Good,F,SI2,60.3,57.0,6.27,6.34,3.8,3519
1394,0.55,Ideal,G,VVS2,60.8,56.9,5.27,5.31,3.22,2064
15193,0.8,Ideal,D,VVS2,61.9,56.0,5.91,5.95,3.67,6004
4796,1.5,Very Good,I,SI1,60.7,58.0,7.34,7.4,4.47,8475
8018,1.03,Ideal,E,SI1,62.0,57.0,6.47,6.44,4.0,5330
1831,0.41,Very Good,E,VS2,59.7,58.0,4.79,4.82,2.87,866
5696,0.23,Very Good,E,VVS1,58.8,61.0,3.98,4.01,2.35,485
9106,0.91,Ideal,E,SI2,62.7,57.0,6.19,6.26,3.9,3756
7311,1.01,Very Good,E,SI1,63.6,56.0,6.3,6.37,4.03,6132
9672,1.24,Very Good,E,VS1,62.0,58.0,6.9,6.96,4.3,10185
11418,0.5,Ideal,I,SI1,62.0,55.0,5.08,5.11,3.16,982
2022,0.52,Ideal,G,VS2,60.8,57.0,5.19,5.21,3.16,1595
11731,0.76,Ideal,F,IF,59.6,58.0,5.95,5.96,3.55,4596
6318,0.7,Very Good,H,SI1,61.5,57.0,5.64,5.68,3.48,2107
21647,1.25,Premium,I,VS1,60.4,59.0,7.01,6.94,4.21,6664
10749,0.31,Ideal,D,SI2,62.3,56.0,4.38,4.35,2.72,593
10326,1.2,Premium,F,SI2,61.9,59.0,6.86,6.74,4.21,5699
11614,1.0,Premium,H,VS1,59.1,60.0,6.45,6.42,3.8,4732
18893,0.71,Very Good,F,SI1,63.3,60.0,5.61,5.54,3.53,2198
16750,0.97,Premium,F,SI2,61.9,58.0,6.31,6.35,3.92,4063
25668,1.01,Premium,G,SI1,63.0,60.0,6.34,6.3,3.98,4118
17298,0.51,Very Good,G,VVS1,62.9,57.0,5.08,5.12,3.21,1800
9040,1.2,Very Good,E,SI1,63.2,57.0,6.75,6.69,4.25,6373
523,0.42,Good,E,SI1,63.6,61.0,4.73,4.7,3.0,945
7498,0.54,Ideal,E,VS2,61.1,57.0,5.24,5.26,3.21,1825
16015,0.93,Premium,G,SI2,60.8,59.0,6.35,6.28,3.84,3594
4079,0.76,Good,E,VS2,63.2,56.0,5.82,5.86,3.69,3249
19306,0.48,Ideal,G,SI1,61.6,55.0,5.06,5.1,3.13,1145
10092,0.38,Premium,E,VS1,60.2,58.0,4.71,4.66,2.82,1069
10937,0.37,Premium,E,SI1,59.3,58.0,4.73,4.75,2.81,649
3256,0.29,Very Good,H,VVS2,61.7,55.0,4.27,4.3,2.64,541
24804,0.31,Premium,H,SI1,62.7,58.0,4.34,4.31,2.71,558
18787,0.96,Premium,I,SI2,61.3,60.0,6.45,6.25,3.9,2669
17113,0.71,Ideal,E,VS2,61.6,56.0,5.71,5.75,3.53,3381
17861,0.38,Premium,I,SI1,,58.0,4.67,4.72,2.84,581
5625,1.13,Ideal,G,VVS2,61.6,57.0,6.66,6.75,4.13,10396
19769,2.08,Very Good,E,SI2,62.4,60.0,8.13,8.15,5.08,18128
14191,2.0,Good,E,SI2,60.1,54.0,8.01,8.15,4.86,15962
15367,0.73,Ideal,F,VS1,61.2,56.0,5.89,5.81,3.58,2835
16505,0.41,Very Good,I,VVS2,,57.0,4.76,4.72,3.01,1061
17255,1.19,Ideal,H,I1,61.5,57.0,6.79,6.83,4.19,3665
976,1.0,Very Good,F,SI2,63.4,55.0,6.3,6.38,4.02,4033
15909,0.56,Premium,E,SI1,61.5,60.0,5.3,5.27,3.25,1848
5414,0.28,Very Good,E,VVS2,60.2,58.0,4.24,4.27,2.56,604
13842,0.3,Ideal,F,SI1,61.4,55.0,4.34,4.36,2.67,475
11052,1.01,Ideal,G,VVS1,61.1,56.0,6.51,6.49,3.97,8647
12299,0.44,Premium,G,SI1,61.6,61.0,4.88,4.83,2.99,990
14386,0.72,Very Good,G,VVS2,60.4,58.0,5.77,5.82,3.5,3043
18805,0.26,Ideal,E,VVS2,61.3,57.0,4.12,4.15,2.53,733
7225,1.13,Ideal,H,SI1,61.9,60.0,6.63,6.65,4.11,5911
4804,1.01,Ideal,G,VS2,61.9,56.0,6.4,6.44,3.97,7179
20107,1.5,Good,I,SI1,64.0,60.0,7.13,7.25,4.6,8580
26150,1.01,Good,F,VS2,63.9,58.0,6.39,6.32,4.06,6446
19351,0.41,Very Good,D,SI1,63.0,59.0,4.73,4.76,2.99,838
7097,0.56,Ideal,G,VS2,60.6,57.0,5.36,5.33,3.24,1698
6900,1.03,Very Good,F,SI2,62.4,59.0,6.38,6.45,4.0,4503
15416,1.16,Premium,H,SI1,61.9,59.0,6.73,6.74,4.17,5091
8882,0.94,Very Good,E,SI2,62.0,60.0,6.19,6.22,3.85,3963
26245,1.55,Ideal,F,SI1,61.9,55.0,7.47,7.42,4.61,14220
6361,0.6,Ideal,H,SI1,61.4,55.0,5.46,5.49,3.36,1766
25558,1.01,Premium,F,VS2,62.2,60.0,6.4,6.37,3.97,6533
15725,0.95,Fair,G,SI1,66.7,56.0,6.16,6.03,4.06,2841
5660,0.7,Very Good,E,VS1,61.3,60.0,5.68,5.7,3.49,2952
4353,1.01,Premium,F,SI2,61.7,60.0,6.42,6.36,3.94,4616
25958,1.22,Very Good,F,VVS2,60.7,62.0,6.81,6.84,4.14,10719
3819,1.1,Premium,E,VVS2,60.1,58.0,6.76,6.69,4.04,10577
20738,0.3,Ideal,G,VVS1,61.7,55.0,4.31,4.35,2.67,747
22010,0.5,Very Good,F,SI1,62.8,56.0,5.03,5.06,3.17,1250
18048,0.58,Very Good,H,SI1,62.4,55.0,5.32,5.36,3.33,1262
26689,1.57,Premium,H,VS1,61.7,58.0,7.47,7.56,4.64,10880
19463,0.33,Very Good,E,VS1,58.3,62.0,4.49,4.57,2.64,886
445,1.0,Ideal,D,SI1,60.2,57.0,6.48,6.54,3.92,4774
18436,1.04,Very Good,F,VS2,61.0,60.0,6.54,6.48,3.97,6361
9755,0.6,Ideal,G,VS1,60.2,57.0,5.49,5.54,3.32,2109
4581,0.56,Ideal,H,IF,61.3,56.0,5.32,5.35,3.27,2135
8436,0.31,Ideal,G,SI1,61.8,55.0,4.38,4.42,2.72,493
9687,0.38,Ideal,D,VS1,62.2,57.0,4.66,4.63,2.89,1140
5917,0.31,Ideal,F,IF,61.2,56.0,4.37,4.42,2.69,921
7235,0.23,Ideal,F,VVS1,62.7,57.0,3.9,3.92,2.45,530
26591,1.24,Ideal,H,VS2,,59.0,6.99,7.03,4.21,7701
8123,0.71,Very Good,E,VS2,62.7,59.0,5.65,5.7,3.56,2830
21412,0.58,Premium,E,SI1,61.6,59.0,5.38,5.33,3.3,1794
4013,0.35,Ideal,E,VVS1,60.7,57.0,4.57,4.53,2.76,1116
20233,0.7,Very Good,G,VS2,63.3,56.0,5.63,5.59,3.55,2657
21846,0.3,Ideal,H,VVS2,62.2,57.0,4.29,4.26,2.66,776
12115,0.3,Ideal,D,VS2,61.0,55.0,4.36,4.33,2.65,911
19922,0.84,Ideal,J,VS2,61.1,57.0,6.09,6.12,3.73,2709
17484,0.4,Premium,F,VVS1,61.1,59.0,4.78,4.75,2.91,1323
8509,0.83,Ideal,H,SI1,62.5,55.0,6.04,6.0,3.76,2816
25869,0.42,Ideal,F,VVS1,61.5,56.0,4.85,4.87,2.99,1223
15332,0.7,Fair,G,I1,62.5,59.0,5.65,5.48,3.48,1069
21936,0.63,Ideal,E,VS1,61.5,56.0,5.53,5.5,3.39,2526
552,0.62,Ideal,D,VS2,61.2,56.0,5.49,5.52,3.37,2243
10534,0.46,Ideal,E,VVS2,62.6,55.0,4.95,4.92,3.09,1736
18899,1.01,Very Good,E,VS2,63.2,57.0,6.38,6.35,4.02,6787
22414,0.72,Ideal,H,SI1,61.8,54.0,5.76,5.8,3.57,2359
12563,1.01,Very Good,G,SI1,63.5,60.0,6.33,6.3,4.01,4672
24545,0.7,Fair,G,SI2,58.6,56.0,5.8,5.74,3.38,2208
3808,2.01,Very Good,G,SI2,63.3,56.0,8.06,8.01,5.08,12271
15979,0.3,Ideal,F,VS2,61.3,55.0,4.32,4.3,2.64,776
23466,1.57,Premium,H,VVS2,62.1,56.0,7.47,7.43,4.63,12098
19248,2.0,Fair,I,SI2,65.2,59.0,7.74,7.69,5.03,10483
10441,1.03,Ideal,J,SI2,60.6,56.0,6.58,6.57,3.99,4347
6581,0.31,Ideal,E,IF,62.5,56.0,4.34,4.37,2.72,1214
14579,0.41,Ideal,G,VVS2,60.9,56.0,4.81,4.84,2.94,960
17441,1.22,Very Good,J,SI2,62.6,58.0,6.78,6.84,4.26,4652
2364,0.77,Fair,I,VS1,65.1,57.0,5.65,5.77,3.72,2184
7016,2.03,Very Good,H,SI2,56.8,61.0,8.52,8.42,4.81,16442
20631,1.32,Ideal,H,VVS1,62.1,55.0,6.98,7.03,4.35,9572
23361,0.74,Very Good,E,SI1,60.0,57.0,5.85,5.89,3.52,2839
17210,0.33,Very Good,E,VVS1,63.2,53.0,4.42,4.47,2.81,770
4335,0.58,Very Good,G,SI1,63.5,56.0,5.34,5.28,3.37,1393
22984,0.53,Very Good,J,VS2,62.4,58.0,5.15,5.24,3.24,1124
15720,1.22,Very Good,I,VS1,61.6,60.0,6.86,6.8,4.21,5966
19027,0.31,Premium,D,VVS1,62.7,58.0,4.3,4.31,2.7,882
18212,0.77,Very Good,J,VS2,62.1,62.0,5.82,5.87,3.63,1843
18321,0.31,Very Good,G,VS2,60.7,61.0,4.33,4.37,2.64,544
2003,1.01,Good,E,SI2,58.5,61.0,6.51,6.61,3.84,4807
19885,0.34,Premium,G,VS2,60.3,58.0,4.53,4.49,2.72,765
14285,1.63,Ideal,I,VS2,61.8,56.0,7.56,7.59,4.68,11963
24166,0.71,Premium,D,VS2,62.5,60.0,5.65,5.61,3.52,2770
3988,1.51,Good,H,VS1,58.2,58.0,7.49,7.56,4.38,10819
21569,1.31,Premium,J,SI2,59.7,59.0,7.06,7.01,4.2,3697
318,0.38,Premium,F,VS2,60.9,56.0,4.72,4.67,2.86,1026
15319,1.5,Very Good,D,VS2,63.0,59.0,7.24,7.3,4.58,13372
15018,1.51,Ideal,G,SI1,61.1,57.0,7.46,7.4,4.54,11465
14101,1.08,Very Good,F,SI1,58.2,63.0,6.69,6.78,3.92,5256
17524,0.33,Ideal,E,VS2,60.6,55.0,4.48,4.5,2.72,723
17822,0.31,Good,F,VS2,58.2,58.0,4.46,4.51,2.61,637
8022,0.93,Premium,F,SI1,62.3,59.0,6.25,6.21,3.88,5729
19606,0.81,Very Good,H,VS1,63.6,57.0,5.87,5.9,3.74,3104
26577,1.19,Good,D,VS1,63.8,55.0,6.68,6.64,4.25,7437
26810,1.01,Very Good,H,SI1,61.9,57.0,6.36,6.41,3.95,4432
18163,0.42,Ideal,G,VVS1,60.0,57.0,4.84,4.86,2.91,1179
23717,0.8,Ideal,D,VS2,61.0,57.0,5.96,6.0,3.65,4170
26629,0.71,Ideal,E,SI2,65.5,55.0,5.62,5.56,3.66,2511
19812,0.32,Premium,G,VS2,60.5,58.0,4.41,4.42,2.67,561
10530,0.73,Fair,D,SI1,64.5,56.0,5.7,5.65,3.66,2539
3926,0.36,Premium,G,VS2,62.5,58.0,4.55,4.51,2.83,756
3553,1.85,Very Good,H,I1,63.3,56.0,7.8,7.75,4.92,5688
11036,0.5,Ideal,H,IF,61.0,56.0,5.15,5.17,3.15,1923
21781,0.59,Very Good,E,VS2,59.4,63.0,5.42,5.46,3.23,2145
22901,0.5,Ideal,H,SI2,62.3,56.0,5.14,5.09,3.19,1119
12245,0.7,Good,H,VS2,,63.0,5.87,5.92,3.34,2187
18294,0.28,Ideal,E,VVS2,62.1,56.0,4.21,4.19,2.61,828
15845,1.07,Ideal,E,SI2,62.4,57.0,6.55,6.52,4.08,4698
21607,2.01,Ideal,G,VS2,63.0,56.0,8.0,7.93,5.02,18172
24673,0.92,Premium,E,SI2,61.7,59.0,6.27,6.18,3.84,3941
18607,0.76,Very Good,F,SI2,62.7,55.0,5.74,5.83,3.63,2469
13217,0.32,Ideal,G,VS1,62.1,55.0,4.4,4.42,2.74,645
18916,0.5,Premium,G,VS2,60.2,60.0,5.21,5.15,3.12,1415
6520,0.31,Premium,J,SI1,59.4,62.0,4.43,4.39,2.62,453
20513,0.31,Very Good,I,SI1,62.8,60.0,4.29,4.31,2.7,418
24709,1.38,Premium,H,SI2,62.1,60.0,7.13,7.08,4.41,6646
8576,0.74,Ideal,D,VS2,61.8,56.0,5.79,5.82,3.59,3858
16444,0.4,Very Good,F,VS1,61.3,54.0,4.8,4.83,2.95,890
19427,0.3,Premium,H,VS1,62.0,58.0,4.28,4.24,2.64,675
25003,0.35,Very Good,D,SI1,63.3,57.0,4.53,4.51,2.86,827
21794,0.45,Very Good,G,VVS1,60.1,58.0,4.95,4.97,2.98,1263
3413,2.01,Ideal,H,SI1,62.8,54.0,8.03,8.08,5.05,18186
15699,1.07,Premium,H,SI1,58.9,59.0,6.76,6.71,3.97,4235
25789,0.37,Ideal,D,VS2,61.3,56.0,4.64,4.6,2.83,1124
8016,0.3,Ideal,F,IF,,57.0,4.29,4.31,2.68,886
10075,0.3,Premium,G,SI2,62.3,59.0,4.29,4.25,2.66,506
26412,0.71,Ideal,E,VS2,62.2,57.0,5.79,5.62,3.55,2776
18326,0.51,Ideal,E,VS2,62.9,57.0,5.11,5.07,3.2,1662
12721,2.1,Premium,J,VS2,58.3,54.0,8.49,8.45,4.94,12401
1654,0.39,Premium,G,VS2,62.4,56.0,4.68,4.64,2.91,1009
18037,1.0,Ideal,E,SI1,61.4,58.0,6.41,6.43,3.94,5555
11781,1.01,Good,I,SI1,61.7,58.0,6.33,6.4,3.93,4171
14937,0.51,Ideal,H,VS2,61.4,56.0,5.14,5.19,3.17,1375
4626,0.3,Premium,E,VVS2,61.4,60.0,4.28,4.25,2.62,1013
7401,1.57,Premium,F,SI1,60.4,59.0,7.57,7.54,4.56,12112
11375,0.62,Very Good,H,VS2,61.7,63.0,5.48,5.42,3.36,1709
16000,0.42,Ideal,I,VVS1,62.0,55.0,4.8,4.88,3.0,884
17531,0.43,Very Good,F,VS1,61.0,57.0,4.84,4.89,2.97,1056
25028,1.27,Ideal,F,VS2,61.0,59.0,6.96,6.98,4.25,9547
6517,0.41,Very Good,E,SI1,61.0,61.0,4.74,4.77,2.9,725
11977,0.27,Ideal,G,VS1,62.3,53.0,4.16,4.19,2.6,527
18434,0.32,Very Good,E,SI1,63.4,55.0,4.36,4.35,2.76,720
21238,0.71,Ideal,F,SI1,63.0,54.0,5.73,5.69,3.6,2235
6414,0.71,Ideal,G,SI1,61.3,55.0,5.73,5.79,3.53,3007
23023,0.36,Ideal,E,VS2,61.7,55.0,4.63,4.57,2.84,1013
5722,1.7,Very Good,H,SI2,60.8,56.0,7.67,7.72,4.68,10255
6441,0.4,Ideal,E,VS2,60.9,56.0,4.78,4.81,2.92,904
12577,0.51,Ideal,E,VVS1,61.9,54.0,5.11,5.17,3.18,2720
23674,0.41,Very Good,F,SI1,63.2,59.0,4.72,4.68,2.97,969
6553,0.75,Premium,I,SI2,61.1,57.0,5.88,5.84,3.58,2070
19308,0.3,Very Good,I,VS1,63.5,57.0,4.29,4.24,2.71,608
9607,1.0,Very Good,E,VS2,62.8,57.0,6.34,6.37,3.99,6600
3345,1.26,Ideal,G,SI1,61.9,56.0,6.92,6.98,4.3,7711
19531,1.64,Ideal,G,VS2,61.5,56.0,7.59,7.62,4.68,16297
6460,1.01,Premium,F,SI2,60.9,60.0,6.45,6.42,3.91,3297
19701,1.7,Premium,H,SI1,62.5,60.0,7.54,7.49,4.7,11709
11123,0.24,Very Good,F,VVS1,60.6,60.0,4.03,4.06,2.45,478
7825,0.56,Ideal,G,IF,62.2,54.0,5.3,5.34,3.31,2321
13337,0.46,Very Good,E,VS2,61.3,57.0,4.99,5.02,3.07,1081
1359,0.53,Very Good,E,VS1,61.9,59.0,5.16,5.21,3.21,1830
3549,0.31,Ideal,E,VS2,61.6,56.0,4.37,4.4,2.7,680
12677,0.33,Premium,D,VVS2,62.6,56.0,4.47,4.44,2.79,1002
13531,0.74,Premium,H,SI1,62.4,58.0,5.75,5.7,3.57,2300
25187,0.66,Ideal,H,VS2,61.4,56.0,5.62,5.65,3.46,2178
12818,0.42,Ideal,H,VVS2,62.0,57.0,4.79,4.82,2.98,823
15554,0.41,Ideal,E,VS2,62.4,54.0,4.79,4.76,2.98,999
24666,1.53,Ideal,G,VVS2,61.2,57.0,7.4,7.44,4.53,15137
5160,0.91,Very Good,J,SI2,62.0,56.0,6.18,6.23,3.85,3181
24030,0.32,Ideal,F,VS2,62.1,57.0,4.35,4.38,2.71,645
1677,1.2,Good,D,SI1,63.5,55.0,6.7,6.78,4.28,5913
23247,1.12,Very Good,E,SI2,60.9,63.0,6.65,6.59,4.03,3864
6041,2.01,Very Good,J,VS2,61.1,59.0,8.04,8.07,4.92,13109
10222,0.5,Very Good,G,SI1,59.3,58.0,5.19,5.24,3.09,1133
9927,1.2,Very Good,F,VS1,62.6,59.0,6.64,6.71,4.18,8983
18480,0.23,Ideal,E,VS1,61.9,55.0,3.94,3.98,2.45,586
20579,0.7,Premium,G,SI1,62.0,61.0,5.71,5.68,3.53,2352
17008,0.54,Premium,E,SI1,62.2,58.0,5.26,5.23,3.26,1637
20969,1.12,Ideal,G,VVS2,61.5,57.0,6.65,6.67,4.1,10305
9416,1.52,Good,G,VS1,64.0,58.0,7.22,7.18,4.61,13903
1494,1.01,Very Good,F,IF,63.5,59.0,6.29,6.41,4.03,9972
23586,0.34,Ideal,F,VS2,60.8,57.0,4.51,4.54,2.75,699
16560,1.03,Fair,G,SI2,65.7,58.0,6.32,6.26,4.13,3530
6324,0.91,Very Good,E,SI2,58.6,63.0,6.38,6.32,3.72,2963
5326,0.41,Premium,D,VS2,61.8,58.0,4.76,4.79,2.95,846
18957,0.31,Ideal,E,VS2,61.5,55.0,4.37,4.41,2.7,680
26151,1.0,Good,E,SI2,63.3,55.0,6.25,6.29,3.97,4312
2923,1.01,Good,F,VS2,60.8,61.0,6.42,6.45,3.91,6271
5409,1.0,Good,J,VS2,64.3,59.0,6.27,6.21,4.01,3580
2271,0.8,Premium,G,SI2,61.4,56.0,5.99,5.96,3.67,2451
13745,0.32,Very Good,H,VVS1,62.9,57.0,4.33,4.38,2.74,730
8121,0.85,Ideal,E,SI1,,57.0,6.07,6.1,3.75,4363
24300,0.52,Premium,D,VS2,61.2,58.0,5.2,5.16,3.17,1919
21227,1.16,Premium,E,SI1,61.3,60.0,6.7,6.64,4.09,6366
12604,0.9,Very Good,F,SI1,59.6,63.0,6.24,6.17,3.7,3992
24908,0.31,Premium,E,VVS2,61.3,60.0,4.33,4.35,2.66,816
10282,1.12,Ideal,F,VS2,61.9,55.0,6.68,6.73,4.15,7589
14497,0.41,Premium,F,VS2,62.6,57.0,4.74,4.71,2.96,1107
17664,1.0,Ideal,E,VS2,62.5,57.0,6.38,6.45,4.01,7177
311,0.7,Ideal,H,SI2,59.9,57.0,5.77,5.74,3.45,2142
26722,0.9,Good,F,SI2,64.3,57.0,6.06,6.16,3.93,3267
19281,0.33,Premium,G,VS1,59.2,59.0,4.54,4.51,2.68,854
4900,0.91,Good,G,VS1,64.1,60.0,6.11,6.06,3.9,4744
5683,0.58,Ideal,E,SI2,62.7,56.0,5.29,5.34,3.33,1234
2525,2.07,Ideal,G,SI2,62.0,55.0,8.23,8.13,5.07,17095
16467,0.31,Ideal,E,VS1,,56.0,4.39,4.44,2.66,626
331,0.9,Premium,G,I1,61.3,59.0,6.2,6.15,3.78,1777
16195,1.01,Very Good,G,VS2,62.5,57.0,6.37,6.4,3.99,5679
12991,0.56,Ideal,E,VS1,62.7,56.0,5.26,5.3,3.31,1608
26290,1.02,Premium,F,SI1,61.0,59.0,6.58,6.47,3.98,5455
22726,0.51,Ideal,G,VVS1,61.6,56.0,5.12,5.16,3.17,1933
465,1.52,Ideal,H,VS1,60.1,60.0,7.54,7.51,4.52,11946
1793,0.53,Ideal,E,VS2,61.8,56.0,5.17,5.21,3.21,1676
8558,1.0,Very Good,D,SI2,62.3,56.0,6.33,6.39,3.96,4348
10845,1.11,Very Good,I,SI2,61.2,61.0,6.65,6.69,4.08,3956
491,0.32,Ideal,E,VS2,62.3,56.0,4.41,4.38,2.74,900
9558,1.07,Good,F,SI2,61.3,65.0,6.59,6.41,4.0,4446
23893,1.31,Premium,H,VS2,62.5,58.0,6.97,6.94,4.35,7277
4992,2.12,Very Good,J,SI2,62.3,61.0,8.16,8.21,5.1,12030
12236,1.01,Good,F,VVS1,63.2,56.0,6.33,6.39,4.02,9012
16520,0.38,Ideal,E,SI1,61.7,58.0,4.71,4.63,2.88,658
10485,1.5,Very Good,E,VS1,59.0,62.0,7.45,7.47,4.4,15957
17960,0.56,Premium,F,SI1,62.7,59.0,5.27,5.22,3.29,2016
24099,1.01,Very Good,H,SI1,61.2,60.0,6.41,6.44,3.93,5433
7069,0.72,Ideal,J,VVS2,61.5,57.0,5.74,5.77,3.54,2150
11525,0.52,Ideal,D,VVS1,62.1,54.0,5.15,5.18,3.21,3373
18354,0.35,Ideal,H,VS1,62.0,56.0,4.54,4.56,2.82,614
21016,0.52,Ideal,G,VS1,61.3,56.0,5.17,5.2,3.18,1576
4120,0.57,Fair,F,SI1,65.8,58.0,5.2,5.1,3.39,1133
19843,0.41,Ideal,E,VVS2,61.6,56.0,4.8,4.78,2.95,1243
16568,0.41,Very Good,G,VS1,60.7,58.0,4.79,4.83,2.92,899
6273,1.0,Fair,G,VS2,67.6,57.0,6.2,6.13,4.17,5484
24454,0.76,Premium,H,VVS1,60.7,58.0,5.9,5.93,3.59,3311
10821,0.27,Very Good,E,VVS2,60.5,60.0,4.19,4.2,2.54,544
6538,0.37,Premium,D,SI1,62.3,56.0,4.64,4.61,2.88,874
10086,1.09,Premium,F,VS1,60.9,58.0,6.63,6.67,4.05,8057
6717,1.56,Very Good,F,SI1,61.0,58.0,7.41,7.48,4.54,12207
12159,0.3,Ideal,G,VS2,62.2,54.0,4.29,4.33,2.68,495
20360,0.31,Ideal,D,SI1,62.9,57.0,4.32,4.27,2.7,732
2083,0.7,Very Good,G,VVS2,63.3,59.0,5.59,5.62,3.55,2905
21974,1.5,Good,G,VS2,63.8,56.0,7.2,7.15,4.58,11508
18064,1.22,Good,H,SI2,,56.0,6.84,6.77,4.32,6250
20541,0.55,Ideal,F,SI1,60.2,56.0,5.32,5.37,3.22,1448
21350,0.9,Good,F,SI2,63.2,58.0,6.09,6.12,3.86,3318
2342,1.12,Premium,I,VS1,59.6,58.0,6.82,6.77,4.05,4987
16919,1.5,Premium,D,SI2,,60.0,7.48,7.45,4.4,8518
14292,0.41,Ideal,E,VS2,62.1,56.0,4.74,4.76,2.95,935
4872,1.06,Very Good,I,SI1,60.2,59.0,6.62,6.67,4.0,4507
24291,1.15,Ideal,G,VS2,61.4,57.0,6.78,6.74,4.15,6492
5531,0.31,Premium,J,SI1,61.9,59.0,4.32,4.28,2.66,465
8414,1.26,Ideal,H,SI1,61.7,58.0,6.95,6.9,4.27,6476
26913,0.54,Premium,E,SI2,61.9,58.0,5.24,5.19,3.23,1250
13500,1.2,Premium,E,SI1,61.8,56.0,6.82,6.75,4.19,6653
1633,0.78,Ideal,E,VS2,61.4,56.0,5.91,5.95,3.64,3582
25513,1.01,Very Good,H,SI1,62.7,59.0,6.27,6.33,3.95,4242
25149,0.76,Good,D,VS2,63.5,55.0,5.81,5.85,3.7,3443
17838,1.07,Very Good,H,VS1,62.5,56.0,6.52,6.6,4.1,5661
5668,0.62,Ideal,H,VS1,61.4,56.0,5.47,5.51,3.37,1878
14353,0.4,Ideal,F,VVS1,61.7,57.0,4.72,4.75,2.92,1128
615,0.32,Ideal,G,VVS1,61.9,56.0,4.4,4.39,2.72,1080
2072,1.15,Ideal,H,SI2,62.0,56.0,6.68,6.75,4.16,4870
3060,0.43,Ideal,F,VVS1,62.3,55.0,4.85,4.88,3.03,1358
23457,0.4,Ideal,H,VS2,61.4,55.0,4.76,4.78,2.93,725
17468,0.71,Ideal,F,SI1,61.5,56.0,5.76,5.69,3.52,2633
1109,1.01,Premium,G,VS1,62.6,59.0,6.38,6.46,4.02,6499
14463,2.24,Ideal,H,SI2,61.4,56.0,8.38,8.43,5.16,16300
6736,1.08,Premium,H,SI1,62.6,56.0,6.58,6.52,4.1,4826
11487,1.51,Fair,G,VS2,58.1,67.0,7.59,7.49,4.38,10553
5394,1.02,Ideal,G,SI1,62.4,55.0,6.43,6.48,4.03,5016
23976,1.2,Good,E,VS2,61.8,61.0,6.69,6.71,4.14,8563
19579,0.79,Very Good,F,SI1,62.7,60.0,5.82,5.89,3.67,2878
15666,1.1,Very Good,H,SI1,61.6,56.0,6.61,6.66,4.09,4827
11223,0.3,Ideal,E,VS2,62.3,57.0,4.32,4.29,2.68,844
21132,1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,6562
8618,0.28,Very Good,F,VS2,60.8,58.0,4.19,4.26,2.57,487
21576,0.41,Ideal,F,VS1,60.8,57.0,4.77,4.8,2.91,1007
